,symbol,side,qty,price,commission,Mark Price,Exit Fee,PNL,Trade,orderId
1,XRPUSDT,SELL,-7.9,1.1983,0.00378662,1.2753,0.004029939485938414,0.6004834405140632,Close All,
0,XRPUSDT,SELL,7.9,1.1983,0.00378662,1.2753,0.004029939485938414,-0.61611655948594,Close,16770598802.0
